item_id,subsystem,item,authority,source_status,estimate_status,review_need,notes
case-frame,structure,case and internal frame,pending_measurement,concept_estimate,estimate_pending_measurement,frame_alignment_review,"Material resonance role access and alignment strategy are unresolved."
service-panels,structure,removable service panels,pending_measurement,concept_estimate,estimate_pending_measurement,service_access_review,"Panel locations hinges latches and clearances are not specified."
cylinder,program,pinned rotating cylinder,pending_measurement,concept_estimate,estimate_pending_measurement,program_datum_review,"Cylinder material bearing support pin grid and start-index strategy are not specified."
cylinder-bearings,program,cylinder bearings or pivots,pending_measurement,concept_estimate,estimate_pending_measurement,wear_and_noise_review,"Bearing choice must balance low friction serviceability and audible noise."
pins,program,cylinder pins or bumps,pending_measurement,concept_estimate,estimate_pending_measurement,pin_coupon_review,"Pin profile height retention and surface finish require coupon testing."
start-stop,program,start stop and reset control,pending_measurement,concept_estimate,estimate_pending_measurement,operator_control_review,"Start indexing reset and jam recovery are unresolved."
steel-comb,sound-generator,tuned steel comb,pending_measurement,concept_estimate,estimate_pending_measurement,comb_coupon_review,"No tooth count tooth length material grade heat treatment or tuning values are specified."
comb-mount,sound-generator,comb mounting block and fasteners,pending_measurement,concept_estimate,estimate_pending_measurement,mount_stiffness_review,"Mount stiffness torque service access and damping must be tested."
damper,acoustics,optional damping or mute elements,pending_measurement,concept_estimate,estimate_pending_measurement,noise_and_sustain_review,"Damping strategy is unresolved."
soundboard-case,acoustics,case resonance path or soundboard,pending_measurement,concept_estimate,estimate_pending_measurement,resonance_review,"Amplification path is unresolved and must not amplify gear noise."
governor,speed-control,governor,pending_measurement,concept_estimate,estimate_pending_measurement,speed_mule_review,"Architecture speed range and noise behavior are unresolved."
escapement,speed-control,escapement or stop-start control,pending_measurement,concept_estimate,estimate_pending_measurement,timing_noise_review,"Timing release behavior and wear require prototype review."
drive-source,drive,spring crank or weight drive,pending_measurement,concept_estimate,estimate_pending_measurement,drive_choice_review,"Drive type is undecided; no torque force or speed values are claimed."
gear-train,drive,gear train and bearings,pending_measurement,concept_estimate,estimate_pending_measurement,backlash_noise_review,"Ratios backlash lubrication and noise are pending measurement."
test-comb-coupon,validation,comb coupon fixture,pending_measurement,planned_test,estimate_pending_measurement,test_fixture_review,"Small coupon for speech sustain stress and tuning workflow before a full comb."
test-pin-coupon,validation,pin release coupon fixture,pending_measurement,planned_test,estimate_pending_measurement,test_fixture_review,"Single pin/tooth interface for lift release scrape and repeatability."
test-registration-mule,validation,cylinder to comb registration mule,pending_measurement,planned_test,estimate_pending_measurement,test_fixture_review,"Short non-musical cylinder segment to test lane registration without released coordinates."
setup-log,validation,comb pin governor and drive setup log,concept_only,planned,not_dimensional,validation_log_review,"Future log for tooth pin alignment speed stability noise and service tests."
